Member ID,Book ID,Checkout Date
1026,522,2025-07-11
1049,520,2025-07-11
1062,525,2025-07-05
1065,520,2025-07-07
1104,515,2025-07-07
1009,503,2025-07-09
1063,522,2025-07-07
1022,511,2025-07-12
1029,523,2025-07-09
1201,509,2025-07-10
1005,513,2025-07-10
1104,526,2025-07-05
1058,518,2025-07-08
1002,521,2025-07-08
1150,530,2025-07-10
1041,504,2025-07-05
1055,526,2025-07-11
1061,513,2025-07-06
1012,509,2025-07-11
1007,510,2025-07-07
1073,530,2025-07-07
1003,501,2025-07-08
1017,507,2025-07-11
1061,504,2025-07-06
1201,523,2025-07-08
1041,512,2025-07-06
